order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,137,Brandon Ortega,263,Determine,Clothing,Internet Banking,7,459.64,2023-10-03 22:27,Germany,Munich,www.flipkart.com,a8c98e06,Y,
2,366,Linda Jackson DDS,248,Clearly,Books,Card,10,319.6,2024-03-20 08:43,India,Kolkata,www.flipkart.com,8228f9a7,N,Blocked Card
3,697,Bradley James,287,Simply,Electronics,UPI,6,221.97,2024-04-14 09:48,India,Delhi,www.amazon.com,ae326907,N,Transaction Timeout
4,224,Samantha Vega,288,A,Stationery,Wallet,2,900.27,2024-09-13 03:30,UK,Manchester,www.ebay.in,8ab4b616,Y,
5,679,Lauren Boyd,237,Analysis,Toys,Card,3,950.21,2024-01-08 03:56,Germany,Munich,www.snapdeal.com,a15e22fc,N,Transaction Timeout
6,975,Rebecca Walker,260,Current,Stationery,UPI,6,792.78,2024-08-19 19:33,UK,Manchester,www.amazon.com,af30d222,Y,
7,379,Lorraine Ali,274,They,Books,Wallet,10,235.56,2024-05-11 14:50,UK,Manchester,www.amazon.com,b4dbf1c2,Y,
8,293,Tiffany Stephens,252,Stay,Electronics,Wallet,10,580.54,2024-07-01 18:02,USA,Chicago,www.amazon.com,d4484502,N,Transaction Timeout
9,504,William Miller,276,Water,Stationery,UPI,9,833.2,2023-12-26 00:14,India,Mumbai,www.amazon.com,fe24a654,Y,
10,469,Karen Jenkins,237,Box,Electronics,UPI,1,927.48,2024-05-04 18:23,USA,Chicago,www.flipkart.com,6e388360,N,Card Expired
11,873,Jonathan Hicks,281,Above,Electronics,Card,5,461.4,2023-12-07 16:34,India,Delhi,www.amazon.com,1f84339c,N,Card Expired
12,629,Robert Robinson,241,Heavy,Books,Wallet,6,922.54,2024-04-21 01:47,USA,Houston,www.amazon.com,80007f14,Y,
13,348,Tammy Wolfe,254,Performance,Books,Internet Banking,5,41.73,2023-12-06 01:26,India,Mumbai,www.snapdeal.com,0be6ffb0,N,Card Expired
14,753,Jacob Miles Jr.,203,Allow,Clothing,Wallet,2,132.15,2023-09-20 02:05,Germany,Hamburg,www.flipkart.com,11724799,Y,
15,997,Lucas Moore,270,Score,Books,Wallet,8,786.28,2024-09-11 05:07,India,Mumbai,www.tatacliq.com,bce5a868,N,Blocked Card
16,495,Mrs. Kristi Murray PhD,249,Many,Clothing,Card,7,209.51,2024-02-03 18:54,USA,Chicago,www.tatacliq.com,21575763,N,Card Expired
17,657,Olivia Smith,285,Yes,Stationery,UPI,5,188.57,2023-11-04 12:13,India,Chennai,www.amazon.com,1fedb839,N,Card Expired
18,770,Frank Wright,268,Us,Toys,Internet Banking,2,825.31,2024-06-18 02:36,USA,Boston,www.flipkart.com,2331c2f7,N,Card Expired
19,255,Steven Lane,226,Almost,Books,UPI,10,224.11,2023-12-26 12:13,USA,Boston,www.amazon.com,5ecb2254,N,Transaction Timeout
20,741,Nathan Rojas,266,General,Clothing,Wallet,8,467.24,2023-12-07 03:03,USA,Boston,www.snapdeal.com,04a04a0b,N,Transaction Timeout
21,508,Tamara Buckley,247,Person,Clothing,Internet Banking,10,203.44,2024-07-08 11:19,India,Kolkata,www.snapdeal.com,7174f3a8,Y,
22,579,Christine Gardner,298,Read,Clothing,UPI,1,644.94,2024-07-07 10:47,Germany,Hamburg,www.flipkart.com,8a76543d,N,Card Expired
23,616,Robin Hensley,233,Decide,Electronics,Internet Banking,4,153.48,2024-08-29 06:29,India,Chennai,www.flipkart.com,2a2dc062,Y,
24,290,Cody Cuevas,205,Need,Books,UPI,7,147.19,2024-08-01 20:54,Germany,Munich,www.tatacliq.com,cb5824f7,N,Blocked Card
25,916,Michael Hill,280,Write,Stationery,UPI,6,683.25,2024-02-25 02:38,India,Delhi,www.tatacliq.com,ca39e242,Y,
